Intersection,Agglomération,Catégorie de route,Aménagement - Infrastructure,Voie,V1,Régime de circulation,Nombre total de voies de circulation,PR,PR1,Voie spéciale,Profil en long,Tracé en plan,Latitude,Longitude,Numac,Code Insee,Geofla Match,Coordonnées
Hors intersection,5,Voie Communale,0,0,0,0,0,,,0,1,1,,,321232,59352,O,50.7361350171
Hors intersection,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321300,59650,O,50.7056367285
Hors intersection,5,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321307,59421,O,50.7041016348
Intersection en X,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321446,59650,O,50.7056367285
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321462,59512,O,50.6879774811
Hors intersection,7,Route Départementale,0,0,0,2,1,,,0,1,En courbe à droite,,,321483,59599,O,50.7254418902
Intersection en X,7,Voie Communale,0,0,0,1,2,,,0,1,Partie rectiligne,,,321561,59599,O,50.7254418902
Intersection en X,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321626,59512,O,50.6879774811
Giratoire,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321637,59512,O,50.6879774811
Hors intersection,5,Voie Communale,0,0,0,3,1,,,0,1,Partie rectiligne,,,321680,59431,O,50.6992987531
Intersection en X,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,321985,59512,O,50.6879774811
Hors intersection,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,319991,59650,O,50.7056367285
Hors intersection,7,Voie Communale,0,0,0,2,1,,,0,1,Partie rectiligne,,,320108,59599,O,50.7254418902
Intersection en T,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320163,59650,O,50.7056367285
Place,7,Voie Communale,0,0,0,2,0,,,0,1,Partie rectiligne,,,320186,59599,O,50.7254418902
Hors intersection,5,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,320211,59648,O,50.5864928159
