Type de Collision,Condition atmosphérique,Lumière,Situation de l’accident,Nombre de personnes tuées dans l'accident,Nombre de blessés hospitalisés (blessés graves) dans l'accident,Nombre de blessés légers dans l'accident,Nombre de personnes indemnes dans l'accident,Type numero,Numero,Distance metre,Libelle voie,Indice de gravité de l'accident,Nombre impliques,Organisme
6,Normale,Plein jour,1,0,0,1,1,0,,0,AUTOROUTE A22,0.43,2,3
3,Normale,Plein jour,1,0,0,1,1,9,0,0,OUEST BOULEVARD DE L,0.43,2,5
6,Normale,Plein jour,1,0,0,1,1,0,,0,AUTOROUTE A25,0.43,2,3
2,Pluie forte,Plein jour,1,0,0,1,1,0,,0,ROUTE NATIONALE 356,0.43,2,3
6,Normale,Plein jour,1,0,0,1,2,1,0,0,CHAUDE RIVIERE RUE DE,0.43,3,5
1,Normale,Nuit avec éclairage public allumé,1,0,0,2,2,9,0,0,FOREST (CHAUSSEE FERNAND),0.86,4,5
3,Normale,Nuit avec éclairage public allumé,1,0,0,3,0,9,0,0,NATIONALE RUE,1.29,3,5
5,Normale,Crépuscule ou aube,1,0,0,3,2,9,,0,DE COUBERTIN PIERRE  BOULEVARD,1.29,5,5
6,Normale,Plein jour,1,0,0,3,0,9,,0,FUSILLES RUE DES DU N° 2 A 110,1.29,3,5
6,Normale,Nuit avec éclairage public non allumé,0,0,1,0,1,1,0,0,VALMY RUE DE,10.8,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,1,,0,SOLFERINO RUE N?1 A 159,10.8,2,5
1,Pluie légère,Nuit sans éclairage public,1,0,1,0,1,1,223,0,MARTINOIRE (RUE DE LA),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,2,1,0,FOURIER (AVENUE CHARLES),10.8,2,5
1,Normale,Plein jour,1,0,1,0,2,1,159,0,COLBERT (RUE),10.8,3,5
3,Normale,Plein jour,1,0,1,0,1,2,,0,LATTE (RUE DE LA),10.8,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,2,,0,BLANCHE PORTE (RUE DE LA),10.8,2,5
2,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,0,,0,AUTOROUTE A25,10.8,2,3
6,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,REPUBLIQUE (PLACE DE LA),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,9,0,0,WATTINE (RUE CHARLES),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,2,1,0,TOURNAI (RUE DE),10.8,2,5
2,Pluie légère,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,HEM (RUE D'),10.8,2,5
6,Pluie légère,Nuit avec éclairage public allumé,1,0,1,0,0,1,0,0,CLEMENCEAU BLVD (N°1-23),10.8,1,5
6,Normale,Plein jour,1,0,1,0,0,2,1,0,MOTTE (AVENUE ALFRED),10.8,1,5
3,Normale,Plein jour,1,0,1,0,1,2,1,0,BLUM (RUE LEON),10.8,2,5
6,Normale,Plein jour,1,0,1,0,0,2,1,0,MARNE (AVENUE DE LA),10.8,1,5
6,Normale,Plein jour,1,0,1,0,2,0,,0,MASUREL (AVENUE ALBERT),10.8,3,5
3,Pluie légère,Plein jour,1,0,1,0,1,1,326645,0,LEBLEU (RUE JULES ),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,1,36,0,SAINT SEBASTIEN RUE,10.8,2,5
